iter	Passed	Remaining
0	3	361
1	7	352
2	10	347
3	14	340
4	17	336
5	21	337
6	24	329
7	28	324
8	31	321
9	35	315
10	38	310
11	41	305
12	44	300
13	48	297
14	52	296
15	55	291
16	58	287
17	62	284
18	65	280
19	69	276
20	72	272
21	75	268
22	78	264
23	81	259
24	85	256
25	88	252
26	91	248
27	95	245
28	99	243
29	102	240
30	106	236
31	109	232
32	113	229
33	116	226
34	119	222
35	123	219
36	126	215
37	130	212
38	133	208
39	137	205
40	140	202
41	143	198
42	147	195
43	149	190
44	152	186
45	156	183
46	158	179
47	162	175
48	164	171
49	166	166
50	169	162
51	171	158
52	172	153
53	174	148
54	176	144
55	178	140
56	180	135
57	182	131
58	183	127
59	184	123
60	186	119
61	188	115
62	190	111
63	192	108
64	194	104
65	196	100
66	198	97
67	199	94
68	201	90
69	203	87
70	205	84
71	207	80
72	209	77
73	211	74
74	212	70
75	214	67
76	216	64
77	218	61
78	220	58
79	222	55
80	224	52
81	225	49
82	227	46
83	229	43
84	230	40
85	232	37
86	234	35
87	236	32
88	238	29
89	239	26
90	241	23
91	243	21
92	245	18
93	246	15
94	247	13
95	249	10
96	251	7
97	252	5
98	254	2
99	256	0
