iter	Passed	Remaining
0	137	137417
1	142	71189
2	145	48391
3	148	37072
4	151	30123
5	153	25381
6	155	22088
7	158	19607
8	159	17577
9	162	16047
10	163	14681
11	164	13533
12	165	12563
13	166	11726
14	167	11012
15	168	10362
16	169	9821
17	171	9356
18	172	8886
19	172	8467
20	173	8090
21	174	7748
22	175	7433
23	175	7141
24	176	6872
25	176	6623
26	177	6392
27	177	6178
28	178	5980
29	179	5794
30	179	5620
31	180	5457
32	181	5305
33	181	5160
34	182	5024
35	182	4896
36	183	4774
37	184	4664
38	185	4558
39	185	4457
40	186	4360
41	187	4267
42	187	4178
43	188	4093
44	189	4013
45	189	3936
46	190	3864
47	191	3794
48	191	3724
49	192	3657
50	193	3593
51	193	3531
52	194	3472
53	194	3414
54	195	3359
55	196	3305
56	196	3256
57	197	3209
58	198	3162
59	198	3115
60	199	3076
61	200	3034
62	201	2991
63	201	2951
64	202	2913
65	203	2875
66	203	2837
67	204	2801
68	204	2765
69	205	2732
70	206	2699
71	206	2667
72	207	2635
73	208	2604
74	208	2573
75	209	2544
76	209	2516
77	210	2487
78	211	2460
79	211	2434
80	212	2409
81	212	2384
82	213	2356
83	213	2332
84	214	2313
85	215	2291
86	216	2268
87	216	2246
88	217	2226
89	218	2206
90	218	2186
91	219	2167
92	220	2147
93	220	2128
94	221	2110
95	222	2091
96	222	2072
97	223	2055
98	223	2038
99	224	2021
100	225	2004
101	225	1988
102	226	1972
103	227	1956
104	227	1941
105	228	1926
106	229	1912
107	229	1899
108	230	1884
109	231	1870
110	231	1856
111	232	1843
112	233	1830
113	233	1816
114	234	1803
115	234	1790
116	235	1776
117	236	1764
118	236	1752
119	237	1739
120	237	1728
121	238	1715
122	238	1703
123	239	1692
124	240	1680
125	240	1670
126	241	1658
127	241	1647
128	242	1638
129	243	1627
130	243	1617
131	244	1608
132	245	1601
133	246	1592
134	247	1582
135	247	1574
136	248	1564
137	249	1555
138	249	1547
139	250	1538
140	251	1529
141	251	1519
142	252	1510
143	252	1502
144	253	1493
145	253	1485
146	254	1476
147	255	1468
148	255	1460
149	256	1452
150	256	1444
151	257	1436
152	258	1429
153	258	1421
154	259	1414
155	260	1409
156	261	1401
157	261	1394
158	262	1387
159	262	1380
160	263	1371
161	263	1364
162	264	1357
163	265	1350
164	265	1343
165	266	1337
166	266	1330
167	267	1323
168	267	1317
169	268	1310
170	269	1304
171	269	1298
172	270	1292
173	271	1286
174	271	1280
175	272	1274
176	272	1268
177	273	1262
178	274	1256
179	275	1252
180	275	1248
181	276	1242
182	277	1237
183	277	1231
184	278	1226
185	278	1220
186	279	1215
187	280	1210
188	280	1205
189	281	1199
190	282	1194
191	282	1189
192	283	1184
193	283	1179
194	284	1174
195	285	1169
196	285	1164
197	286	1159
198	286	1154
199	287	1150
200	288	1145
201	288	1140
202	289	1136
203	290	1132
204	290	1128
205	291	1123
206	292	1119
207	292	1114
208	293	1110
209	293	1105
210	294	1101
211	295	1096
212	295	1093
213	296	1089
214	297	1084
215	297	1080
216	298	1076
217	298	1072
218	299	1067
219	300	1063
220	300	1059
221	301	1055
222	301	1051
223	302	1047
224	303	1043
225	303	1039
226	304	1036
227	305	1034
228	306	1031
229	306	1027
230	307	1023
231	308	1020
232	308	1016
233	309	1012
234	310	1009
235	310	1005
236	311	1001
237	311	998
238	312	994
239	312	991
240	313	987
241	314	984
242	314	980
243	315	977
244	315	973
245	316	970
246	317	966
247	317	963
248	318	960
249	318	956
250	319	954
251	320	951
252	321	948
253	321	945
254	322	942
255	323	939
256	323	935
257	324	932
258	324	929
259	325	926
260	326	923
261	326	920
262	327	917
263	328	914
264	328	911
265	329	908
266	329	905
267	330	902
268	331	899
269	331	896
270	332	893
271	332	891
272	333	888
273	334	885
274	334	882
275	335	880
276	336	877
277	337	875
278	337	873
279	338	870
280	339	867
281	339	865
282	340	862
283	341	860
284	341	857
285	342	854
286	343	852
287	343	849
288	344	846
289	344	844
290	345	841
291	346	839
292	346	836
293	347	833
294	347	831
295	348	828
296	349	826
297	349	824
298	350	822
299	351	820
300	352	817
301	352	815
302	353	813
303	354	810
304	354	808
305	355	805
306	355	803
307	356	800
308	357	798
309	357	796
310	358	793
311	358	791
312	359	788
313	360	786
314	360	784
315	361	781
316	361	779
317	362	777
318	362	774
319	363	772
320	364	770
321	364	768
322	365	766
323	366	764
324	367	762
325	367	760
326	368	758
327	369	756
328	370	754
329	370	752
330	371	750
331	372	748
332	372	746
333	373	744
334	373	742
335	374	740
336	375	737
337	375	735
338	376	733
339	376	731
340	377	729
341	378	727
342	378	725
343	379	723
344	379	721
345	380	720
346	381	718
347	382	716
348	382	713
349	383	711
350	383	709
351	384	707
352	385	705
353	385	703
354	386	701
355	386	699
356	387	697
357	388	695
358	388	693
359	389	691
360	389	690
361	390	688
362	391	686
363	391	684
364	392	682
365	392	680
366	393	678
367	394	676
368	395	675
369	396	674
370	396	672
371	397	671
372	398	669
373	398	667
374	399	665
375	400	664
376	400	662
377	401	660
378	401	658
379	402	656
380	403	655
381	403	653
382	404	651
383	405	649
384	405	647
385	406	646
386	406	644
387	407	642
388	407	640
389	408	639
390	409	637
391	410	636
392	411	634
393	412	634
394	412	632
395	413	630
396	414	629
397	414	627
398	415	625
399	415	623
400	416	622
401	417	620
402	417	618
403	418	617
404	418	615
405	419	613
406	420	612
407	420	610
408	421	608
409	421	607
410	422	605
411	423	603
412	423	602
413	424	600
414	425	599
415	425	598
416	426	596
417	427	595
418	428	593
419	428	591
420	429	590
421	429	588
422	430	587
423	431	585
424	431	583
425	432	582
426	432	580
427	433	579
428	434	577
429	434	576
430	435	574
431	435	573
432	436	571
433	437	570
434	437	568
435	438	566
436	438	565
437	439	563
438	440	562
439	441	561
440	441	559
441	442	558
442	443	557
443	443	555
444	444	554
445	444	552
446	445	551
447	446	549
448	446	548
449	447	546
450	447	545
451	448	543
452	448	542
453	449	540
454	450	539
455	450	537
456	451	536
457	452	535
458	452	533
459	453	532
460	453	530
461	454	529
462	455	527
463	455	526
464	456	525
465	457	524
466	457	522
467	458	521
468	459	520
469	460	518
470	460	517
471	461	516
472	461	514
473	462	513
474	463	511
475	463	510
476	464	508
477	464	507
478	465	506
479	465	504
480	466	503
481	467	502
482	467	500
483	468	499
484	469	498
485	469	496
486	470	495
487	471	494
488	471	493
489	472	491
490	473	490
491	473	489
492	474	487
493	475	486
494	475	485
495	476	483
496	476	482
497	477	481
498	478	480
499	478	478
500	479	477
501	479	476
502	480	474
503	481	473
504	481	472
505	482	470
506	482	469
507	483	468
508	484	466
509	484	465
510	485	464
511	486	463
512	487	462
513	487	461
514	488	459
515	488	458
516	489	457
517	490	456
518	490	454
519	491	453
520	491	452
521	492	451
522	493	449
523	493	448
524	494	447
525	495	446
526	495	444
527	496	443
528	496	442
529	497	441
530	498	439
531	498	438
532	499	437
533	499	436
534	500	435
535	501	434
536	501	432
537	502	431
538	503	430
539	503	429
540	504	427
541	504	426
542	505	425
543	506	424
544	506	423
545	507	421
546	508	420
547	508	419
548	509	418
549	509	417
550	510	415
551	511	414
552	511	413
553	512	412
554	512	411
555	513	410
556	514	408
557	514	407
558	515	406
559	516	405
560	517	404
561	517	403
562	518	402
563	518	401
564	519	399
565	520	398
566	520	397
567	521	396
568	521	395
569	522	394
570	523	393
571	523	391
572	524	390
573	524	389
574	525	388
575	526	387
576	526	386
577	527	384
578	527	383
579	528	382
580	529	381
581	529	380
582	530	379
583	531	378
584	532	377
585	532	376
586	533	375
587	533	374
588	534	372
589	535	371
590	535	370
591	536	369
592	536	368
593	537	367
594	538	366
595	538	365
596	539	364
597	539	362
598	540	361
599	541	360
600	541	359
601	542	358
602	542	357
603	543	356
604	544	355
605	544	354
606	545	353
607	546	352
608	547	351
609	547	350
610	548	349
611	549	348
612	550	347
613	550	346
614	551	345
615	552	344
616	552	343
617	553	342
618	554	341
619	554	340
620	555	338
621	555	337
622	556	336
623	557	335
624	557	334
625	558	333
626	559	332
627	559	331
628	560	330
629	560	329
630	561	328
631	562	327
632	562	326
633	563	325
634	564	324
635	564	323
636	565	322
637	565	321
638	566	320
639	567	319
640	567	317
641	568	316
642	568	315
643	569	314
644	570	313
645	570	312
646	571	311
647	571	310
648	572	309
649	573	308
650	573	307
651	574	306
652	574	305
653	575	304
654	576	303
655	577	302
656	578	301
657	578	300
658	579	299
659	579	298
660	580	297
661	581	296
662	582	295
663	582	294
664	583	293
665	584	292
666	584	291
667	585	290
668	585	289
669	586	288
670	587	287
671	587	286
672	588	285
673	588	284
674	589	283
